Enero ,Max,Min,Media ,Febrero,Max,Min,Media,Marzo,Max,Min,Media ,Abril,Max,Min,Media,Mayo,Max,Min,Media ,Junio,Max,Min,Media,Julio,Max,Min,Media ,Agosto,Max,Min,Media ,Septiembre ,Max,Min,Media ,Octubre,Max,Min,Media ,Noviembre ,Max,Min,Media ,Diciembre,Max,Min,Media 
26/01/2016,21,12,16.5,26/02/2016,25,11,18,26/03/2016,27,15,21,26/04/2016,26,14,20,26/05/2016,29,15,22,26/06/2016,23,15,19,26/07/2016,26,14,20,26/08/2016,25,14,19.5,26/08/2016,24,18,21,26/10/2016,23,9,16,26/09/2016,20,6,13,26/12/2016,23,9,16
27/01/2016,22,8,15,27/02/2016,20,9,14.5,27/03/2016,29,15,22,27/04/2016,30,13,21.5,27/05/2016,29,16,22.5,27/06/2016,27,14,20.5,27/07/2016,26,13,19.5,27/08/2016,27,14,20.5,27/08/2016,21,14,17.5,27/10/2016,19,10,14.5,27/09/2016,23,7,15,27/12/2016,24,6,15
28/01/2016,14,2,8,28/02/2016,23,8,15.5,28/03/2016,29,16,22.5,28/04/2016,28,16,22,28/05/2016,28,14,21,28/06/2016,26,14,20,28/07/2016,26,12,19,28/08/2016,27,14,20.5,28/08/2016,22,14,18,28/10/2016,17,8,12.5,28/09/2016,24,8,16,28/12/2016,25,11,18
29/01/2016,16,7,11.5,29/02/2016,23,10,16.5,29/03/2016,28,12,20,29/04/2016,30,17,23.5,29/05/2016,26,14,20,29/06/2016,25,13,19,29/07/2016,24,13,18.5,29/08/2016,26,14,20,29/08/2016,24,13,18.5,29/10/2016,21,10,15.5,29/09/2016,25,11,18,29/12/2016,24,10,17
30/01/2016,23,8,15.5,,,,,30/03/2016,30,15,22.5,30/04/2016,28,16,22,30/05/2016,28,14,21,30/06/2016,25,13,19,30/07/2016,24,13,18.5,30/08/2016,26,13,19.5,30/08/2016,24,15,19.5,30/10/2016,24,11,17.5,30/09/2016,26,11,18.5,30/12/2016,20,11,15.5
31/01/2016,25,12,18.5,,,,,31/03/2016,30,15,22.5,,,,,31/05/2016,28,14,21,,,,,31/07/2016,24,13,18.5,31/08/2016,27,12,19.5,31/08/2016,22,16,19,31/10/2016,21,11,16,,,,0,31/12/2016,23,8,15.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
